text,label
Tapai ko Siddhartha Bank account suspend huna lagyo. https://claim-prize.net,phishing
Tapai ko NIC Asia Bank account suspend huna lagyo. https://bank-security.info,phishing
"Congratulations! Claim Rs 250,000. https://bank-security.info",phishing
Khalti KYC update garnu hos. https://bank-security.info,phishing
Daraz parcel verify garnu hos. https://bank-security.info,phishing
Global IME Bank security update required. https://secure-login.net,phishing
Global IME Bank security update required. https://verify-now.com,phishing
"Congratulations! Claim Rs 5,000. https://claim-prize.net",phishing
Nabil Bank security update required. https://account-update.org,phishing
Account verify nagare banda hune cha. https://bank-security.info,phishing
Khalti KYC update garnu hos. https://account-update.org,phishing
"Congratulations! Claim Rs 25,000. https://account-update.org",phishing
"Tapai le Rs 50,000 jitnu bhayo. Claim garnu hos https://claim-prize.net",phishing
Tapai ko Machhapuchchhre Bank account suspend huna lagyo. https://claim-prize.net,phishing
Nepal Telecom SIM verify garnu hos. https://secure-login.net,phishing
"Tapai le Rs 100,000 jitnu bhayo. Claim garnu hos https://secure-login.net",phishing
"Congratulations! Claim Rs 10,000. https://verify-now.com",phishing
OTP confirm garnu hos. https://secure-login.net,phishing
"Tapai le Rs 5,000 jitnu bhayo. Claim garnu hos https://account-update.org",phishing
Account verify nagare banda hune cha. https://claim-prize.net,phishing
Tapai ko account ma suspicious activity dekheko cha. https://verify-now.com,phishing
Ncell SIM verify garnu hos. https://claim-prize.net,phishing
Nepal Telecom SIM verify garnu hos. https://account-update.org,phishing
Tapai ko Prabhu Bank account suspend huna lagyo. https://secure-login.net,phishing
"Tapai le Rs 250,000 jitnu bhayo. Claim garnu hos https://verify-now.com",phishing
"Tapai le Rs 10,000 jitnu bhayo. Claim garnu hos https://account-update.org",phishing
"Congratulations! Claim Rs 100,000. https://secure-login.net",phishing
Nepal Telecom SIM verify garnu hos. https://bank-security.info,phishing
Tapai ko Sanima Bank account suspend huna lagyo. https://claim-prize.net,phishing
Nepal Telecom SIM verify garnu hos. https://claim-prize.net,phishing
"Tapai le Rs 75,000 jitnu bhayo. Claim garnu hos https://verify-now.com",phishing
Machhapuchchhre Bank security update required. https://account-update.org,phishing
IME Pay KYC update garnu hos. https://secure-login.net,phishing
FonePay KYC update garnu hos. https://secure-login.net,phishing
Kumari Bank security update required. https://claim-prize.net,phishing
"Congratulations! Claim Rs 50,000. https://bank-security.info",phishing
Kumari Bank security update required. https://verify-now.com,phishing
Machhapuchchhre Bank security update required. https://claim-prize.net,phishing
Tapai ko Kumari Bank account suspend huna lagyo. https://claim-prize.net,phishing
Tapai ko Global IME Bank account suspend huna lagyo. https://claim-prize.net,phishing
Tapai ko Nabil Bank account suspend huna lagyo. https://account-update.org,phishing
"Congratulations! Claim Rs 25,000. https://verify-now.com",phishing
Tapai ko Sanima Bank account suspend huna lagyo. https://account-update.org,phishing
Tapai ko Global IME Bank account suspend huna lagyo. https://account-update.org,phishing
NIC Asia Bank security update required. https://account-update.org,phishing
Sastodeal parcel verify garnu hos. https://claim-prize.net,phishing
FonePay KYC update garnu hos. https://claim-prize.net,phishing
Pathao parcel verify garnu hos. https://account-update.org,phishing
IME Pay KYC update garnu hos. https://claim-prize.net,phishing
"Tapai le Rs 250,000 jitnu bhayo. Claim garnu hos https://secure-login.net",phishing
Tapai ko Nabil Bank account suspend huna lagyo. https://claim-prize.net,phishing
Tapai ko Siddhartha Bank account suspend huna lagyo. https://secure-login.net,phishing
Everest Bank security update required. https://bank-security.info,phishing
"Congratulations! Claim Rs 250,000. https://account-update.org",phishing
Tapai ko Global IME Bank account suspend huna lagyo. https://secure-login.net,phishing
"Congratulations! Claim Rs 100,000. https://bank-security.info",phishing
"Congratulations! Claim Rs 250,000. https://claim-prize.net",phishing
"Tapai le Rs 50,000 jitnu bhayo. Claim garnu hos https://account-update.org",phishing
"Congratulations! Claim Rs 75,000. https://account-update.org",phishing
Tapai ko Global IME Bank account suspend huna lagyo. https://bank-security.info,phishing
Pathao parcel verify garnu hos. https://secure-login.net,phishing
"Congratulations! Claim Rs 5,000. https://bank-security.info",phishing
"Tapai le Rs 50,000 jitnu bhayo. Claim garnu hos https://secure-login.net",phishing
Everest Bank security update required. https://account-update.org,phishing
"Tapai le Rs 50,000 jitnu bhayo. Claim garnu hos https://bank-security.info",phishing
Siddhartha Bank security update required. https://verify-now.com,phishing
Tapai ko Everest Bank account suspend huna lagyo. https://claim-prize.net,phishing
Nabil Bank security update required. https://bank-security.info,phishing
IME Pay KYC update garnu hos. https://bank-security.info,phishing
Tapai ko Siddhartha Bank account suspend huna lagyo. https://bank-security.info,phishing
Nabil Bank security update required. https://claim-prize.net,phishing
Tapai ko NIC Asia Bank account suspend huna lagyo. https://claim-prize.net,phishing
Tapai ko Himalayan Bank account suspend huna lagyo. https://secure-login.net,phishing
"Congratulations! Claim Rs 10,000. https://secure-login.net",phishing
Nabil Bank security update required. https://secure-login.net,phishing
"Congratulations! Claim Rs 5,000. https://verify-now.com",phishing
Tapai ko Himalayan Bank account suspend huna lagyo. https://account-update.org,phishing
Ncell SIM verify garnu hos. https://secure-login.net,phishing
FonePay KYC update garnu hos. https://account-update.org,phishing
Tapai ko Prabhu Bank account suspend huna lagyo. https://account-update.org,phishing
"Congratulations! Claim Rs 50,000. https://verify-now.com",phishing
Ncell SIM verify garnu hos. https://bank-security.info,phishing
Sastodeal parcel verify garnu hos. https://verify-now.com,phishing
Sastodeal parcel verify garnu hos. https://bank-security.info,phishing
"Tapai le Rs 250,000 jitnu bhayo. Claim garnu hos https://claim-prize.net",phishing
"Tapai le Rs 10,000 jitnu bhayo. Claim garnu hos https://claim-prize.net",phishing
"Tapai le Rs 5,000 jitnu bhayo. Claim garnu hos https://claim-prize.net",phishing
Tapai ko Everest Bank account suspend huna lagyo. https://bank-security.info,phishing
"Congratulations! Claim Rs 100,000. https://account-update.org",phishing
"Tapai le Rs 100,000 jitnu bhayo. Claim garnu hos https://verify-now.com",phishing
FonePay KYC update garnu hos. https://bank-security.info,phishing
"Tapai le Rs 5,000 jitnu bhayo. Claim garnu hos https://secure-login.net",phishing
"Tapai le Rs 10,000 jitnu bhayo. Claim garnu hos https://secure-login.net",phishing
Sanima Bank security update required. https://secure-login.net,phishing
Prabhu Bank security update required. https://account-update.org,phishing
"Tapai le Rs 100,000 jitnu bhayo. Claim garnu hos https://claim-prize.net",phishing
Khalti KYC update garnu hos. https://claim-prize.net,phishing
Kumari Bank security update required. https://secure-login.net,phishing
Khalti KYC update garnu hos. https://secure-login.net,phishing
Global IME Bank security update required. https://account-update.org,phishing
Sanima Bank security update required. https://verify-now.com,phishing
Everest Bank security update required. https://claim-prize.net,phishing
"Tapai le Rs 25,000 jitnu bhayo. Claim garnu hos https://bank-security.info",phishing
"Congratulations! Claim Rs 50,000. https://claim-prize.net",phishing
"Tapai le Rs 75,000 jitnu bhayo. Claim garnu hos https://secure-login.net",phishing
"Tapai le Rs 250,000 jitnu bhayo. Claim garnu hos https://account-update.org",phishing
Tapai ko Himalayan Bank account suspend huna lagyo. https://claim-prize.net,phishing
Tapai ko Siddhartha Bank account suspend huna lagyo. https://account-update.org,phishing
"Congratulations! Claim Rs 5,000. https://account-update.org",phishing
Kumari Bank security update required. https://account-update.org,phishing
Tapai ko Sanima Bank account suspend huna lagyo. https://bank-security.info,phishing
"Congratulations! Claim Rs 10,000. https://account-update.org",phishing
Khalti KYC update garnu hos. https://verify-now.com,phishing
"Tapai le Rs 10,000 jitnu bhayo. Claim garnu hos https://bank-security.info",phishing
Tapai ko Nabil Bank account suspend huna lagyo. https://secure-login.net,phishing
Daraz parcel verify garnu hos. https://account-update.org,phishing
"Tapai le Rs 250,000 jitnu bhayo. Claim garnu hos https://bank-security.info",phishing
"Tapai le Rs 25,000 jitnu bhayo. Claim garnu hos https://claim-prize.net",phishing
"Tapai le Rs 100,000 jitnu bhayo. Claim garnu hos https://account-update.org",phishing
Tapai ko Everest Bank account suspend huna lagyo. https://verify-now.com,phishing
Tapai ko Machhapuchchhre Bank account suspend huna lagyo. https://account-update.org,phishing
"Congratulations! Claim Rs 25,000. https://bank-security.info",phishing
NIC Asia Bank security update required. https://claim-prize.net,phishing
Himalayan Bank security update required. https://account-update.org,phishing
"Tapai le Rs 5,000 jitnu bhayo. Claim garnu hos https://verify-now.com",phishing
eSewa KYC update garnu hos. https://verify-now.com,phishing
Tapai ko Everest Bank account suspend huna lagyo. https://secure-login.net,phishing
Machhapuchchhre Bank security update required. https://verify-now.com,phishing
Himalayan Bank security update required. https://claim-prize.net,phishing
Tapai ko Kumari Bank account suspend huna lagyo. https://bank-security.info,phishing
"Congratulations! Claim Rs 75,000. https://bank-security.info",phishing
Siddhartha Bank security update required. https://bank-security.info,phishing
"Congratulations! Claim Rs 25,000. https://claim-prize.net",phishing
Tapai ko NIC Asia Bank account suspend huna lagyo. https://verify-now.com,phishing
FonePay KYC update garnu hos. https://verify-now.com,phishing
"Tapai le Rs 50,000 jitnu bhayo. Claim garnu hos https://verify-now.com",phishing
Machhapuchchhre Bank security update required. https://bank-security.info,phishing
"Tapai le Rs 75,000 jitnu bhayo. Claim garnu hos https://account-update.org",phishing
"Congratulations! Claim Rs 75,000. https://claim-prize.net",phishing
Global IME Bank security update required. https://claim-prize.net,phishing
NIC Asia Bank security update required. https://secure-login.net,phishing
"Tapai le Rs 100,000 jitnu bhayo. Claim garnu hos https://bank-security.info",phishing
Siddhartha Bank security update required. https://account-update.org,phishing
Tapai ko Himalayan Bank account suspend huna lagyo. https://bank-security.info,phishing
"Congratulations! Claim Rs 50,000. https://secure-login.net",phishing
NIC Asia Bank security update required. https://verify-now.com,phishing
Prabhu Bank security update required. https://secure-login.net,phishing
Prabhu Bank security update required. https://verify-now.com,phishing
Tapai ko Everest Bank account suspend huna lagyo. https://account-update.org,phishing
"Congratulations! Claim Rs 10,000. https://bank-security.info",phishing
Tapai ko Global IME Bank account suspend huna lagyo. https://verify-now.com,phishing
"Congratulations! Claim Rs 50,000. https://account-update.org",phishing
"Congratulations! Claim Rs 100,000. https://claim-prize.net",phishing
Himalayan Bank security update required. https://verify-now.com,phishing
"Congratulations! Claim Rs 75,000. https://verify-now.com",phishing
"Congratulations! Claim Rs 250,000. https://verify-now.com",phishing
Tapai ko Kumari Bank account suspend huna lagyo. https://verify-now.com,phishing
Sanima Bank security update required. https://bank-security.info,phishing
"Tapai le Rs 75,000 jitnu bhayo. Claim garnu hos https://claim-prize.net",phishing
Himalayan Bank security update required. https://secure-login.net,phishing
Sanima Bank security update required. https://account-update.org,phishing
Tapai ko Prabhu Bank account suspend huna lagyo. https://verify-now.com,phishing
Prabhu Bank security update required. https://claim-prize.net,phishing
Tapai ko Nabil Bank account suspend huna lagyo. https://bank-security.info,phishing
Tapai ko Prabhu Bank account suspend huna lagyo. https://bank-security.info,phishing
Tapai ko Kumari Bank account suspend huna lagyo. https://secure-login.net,phishing
Sanima Bank security update required. https://claim-prize.net,phishing
NIC Asia Bank security update required. https://bank-security.info,phishing
Siddhartha Bank security update required. https://claim-prize.net,phishing
Tapai ko Himalayan Bank account suspend huna lagyo. https://verify-now.com,phishing
Tapai ko Machhapuchchhre Bank account suspend huna lagyo. https://bank-security.info,phishing
Tapai ko Prabhu Bank account suspend huna lagyo. https://claim-prize.net,phishing
Tapai ko Sanima Bank account suspend huna lagyo. https://secure-login.net,phishing
Kumari Bank security update required. https://bank-security.info,phishing
Prabhu Bank security update required. https://bank-security.info,phishing
